,entidade,codigo,taxa mortalidade,ano_referencia
0,Albania,Não informado,,2023
1,Antigua And Barbuda,Não informado,2.4685488,2021
2,Argentina,Não informado,2.6434653,2022
3,Armenia,ARM,3.9359062,2023
4,Australia,AUS,3.8413868,2023
5,Austria,AUT,3.7386844,2023
6,Azerbaijan,Não informado,,2023
7,Bahamas,Não informado,,2023
8,Bahrain,Não informado,,2023
9,Barbados,Não informado,,2023
10,Belarus,Não informado,3.5044215,2018
11,Belgium,Não informado,3.6918976,2021
12,Belize,Não informado,2.6895673,2022
13,Bosnia And Herzegovina,BIH,4.909451,2023
14,Brazil,Não informado,4.038934,2021
15,Brunei,Não informado,0.7879558,2019
16,Bulgaria,Não informado,4.788004,2022
17,Canada,Não informado,3.8612244,2022
18,Cape Verde,Não informado,,2023
19,Chile,Não informado,2.3496974,2022
20,Colombia,Não informado,2.5812018,2021
21,Costa Rica,Não informado,2.588745,2022
22,Croatia,Não informado,6.04112,2021
23,Cuba,Não informado,3.737288,2021
24,Cyprus,Não informado,2.524527,2022
25,Czechia,CZE,3.9744992,2023
26,Denmark,Não informado,4.0855956,2022
27,Dominican Republic,Não informado,2.013128,2018
28,Ecuador,Não informado,2.1114104,2022
29,Egypt,Não informado,3.887132,2019
30,El Salvador,Não informado,2.5239964,2018
31,Estonia,Não informado,4.380541,2022
32,Fiji,Não informado,,2023
33,Finland,Não informado,3.9622886,2022
34,France,Não informado,3.6389625,2022
35,French Guiana,Não informado,,2023
36,Georgia,GEO,3.0640624,2023
37,Germany,Não informado,3.7660534,2020
38,Greece,Não informado,4.970292,2022
39,Grenada,GRD,3.1582413,2023
40,Guatemala,Não informado,1.2860445,2022
41,Guyana,Não informado,1.1418749,2020
42,Hungary,HUN,4.2419767,2023
43,Iceland,Não informado,4.97468,2022
44,Iran,Não informado,,2023
45,Iraq,Não informado,,2023
46,Ireland,Não informado,4.5252266,2022
47,Israel,Não informado,3.335803,2022
48,Italy,Não informado,3.6126304,2022
49,Jamaica,Não informado,,2023
50,Japan,Não informado,1.2901232,2022
51,Jordan,Não informado,1.7947468,2018
52,Kazakhstan,KAZ,1.7739109,2023
53,Kuwait,KWT,2.033433,2023
54,Kyrgyzstan,KGZ,2.4917197,2023
55,Latvia,LVA,4.3831377,2023
56,Lebanon,LBN,1.4268744,2023
57,Lithuania,LTU,5.033959,2023
58,Luxembourg,LUX,2.587284,2023
59,Malaysia,Não informado,1.16585,2020
60,Maldives,Não informado,1.2592154,2021
61,Malta,Não informado,3.62254,2022
62,Mauritius,MUS,2.892767,2023
63,Mexico,Não informado,1.8448694,2022
64,Moldova,MDA,4.8196826,2023
65,Mongolia,MNG,3.4033248,2023
66,Montenegro,Não informado,6.8866577,2019
67,Netherlands,NLD,3.211623,2023
68,New Zealand,Não informado,4.494441,2018
69,Nicaragua,Não informado,1.3993524,2022
70,North Macedonia,MKD,4.7332234,2023
71,Norway,Não informado,,2023
72,Oman,Não informado,0.3549062,2021
73,Panama,Não informado,1.8053404,2022
74,Paraguay,Não informado,1.6155208,2021
75,Peru,Não informado,3.2799175,2022
76,Philippines,Não informado,1.5480515,2019
77,Poland,Não informado,4.760885,2022
78,Portugal,Não informado,4.5563145,2022
79,Puerto Rico,Não informado,2.042044,2022
80,Qatar,QAT,1.3704466,2023
81,Romania,Não informado,4.4802465,2022
82,Russia,Não informado,3.6829681,2019
83,Saint Lucia,Não informado,1.3002391,2020
84,Saint Vincent And The Grenadines,Não informado,2.959731,2022
85,Sao Tome And Principe,Não informado,,2023
86,Saudi Arabia,SAU,2.411893,2023
87,Serbia,SRB,4.9786024,2023
88,Seychelles,Não informado,7.9908123,2021
89,Singapore,Não informado,1.62422,2022
90,Slovakia,SVK,4.3140454,2023
91,Slovenia,SVN,4.5319347,2023
92,South Africa,Não informado,1.2039739,2020
93,South Korea,Não informado,1.8107512,2022
94,Spain,ESP,3.8861136,2023
95,Sri Lanka,Não informado,2.1359205,2019
96,Suriname,Não informado,,2023
97,Sweden,SWE,3.8448963,2023
98,Switzerland,CHE,3.704557,2023
99,Syria,Não informado,,2023
100,Tajikistan,Não informado,1.7580587,2022
101,Thailand,THA,1.4393885,2023
102,Trinidad And Tobago,Não informado,1.6594874,2020
103,Turkey,TUR,3.4525175,2023
104,Turkmenistan,Não informado,,2023
105,Ukraine,Não informado,3.3830154,2019
106,United Arab Emirates,ARE,1.2093328,2023
107,United Kingdom,Não informado,3.8179224,2021
108,United States,Não informado,3.3396826,2022
109,Uruguay,Não informado,3.8835104,2022
110,Uzbekistan,UZB,2.9125583,2023
111,Venezuela,Não informado,,2023
