,entidade,codigo,taxa_mortalidade,tempo
0,Albania,Não informado,0.0,2023
1,Antigua And Barbuda,Não informado,2.469,2021
2,Argentina,Não informado,2.643,2022
3,Armenia,ARM,3.936,2023
4,Australia,AUS,3.842,2023
5,Austria,AUT,3.738,2023
6,Azerbaijan,Não informado,0.0,2023
7,Bahamas,Não informado,0.0,2023
8,Bahrain,Não informado,0.0,2023
9,Barbados,Não informado,0.0,2023
10,Belarus,Não informado,3.504,2018
11,Belgium,Não informado,3.691,2021
12,Belize,Não informado,2.69,2022
13,Bosnia And Herzegovina,BIH,4.91,2023
14,Brazil,Não informado,4.04,2021
15,Brunei,Não informado,0.788,2019
16,Bulgaria,Não informado,4.79,2022
17,Canada,Não informado,3.861,2022
18,Cape Verde,Não informado,0.0,2023
19,Chile,Não informado,2.35,2022
20,Colombia,Não informado,2.582,2021
21,Costa Rica,Não informado,2.588,2022
22,Croatia,Não informado,6.043,2021
23,Cuba,Não informado,3.736,2021
24,Cyprus,Não informado,2.525,2022
25,Czechia,CZE,3.975,2023
26,Denmark,Não informado,4.086,2022
27,Dominican Republic,Não informado,2.014,2018
28,Ecuador,Não informado,2.111,2022
29,Egypt,Não informado,3.887,2019
30,El Salvador,Não informado,2.523,2018
31,Estonia,Não informado,4.38,2022
32,Fiji,Não informado,0.0,2023
33,Finland,Não informado,3.963,2022
34,France,Não informado,3.639,2022
35,French Guiana,Não informado,0.0,2023
36,Georgia,GEO,3.064,2023
37,Germany,Não informado,3.766,2020
38,Greece,Não informado,4.97,2022
39,Grenada,GRD,3.158,2023
40,Guatemala,Não informado,1.286,2022
41,Guyana,Não informado,1.142,2020
42,Hungary,HUN,4.242,2023
43,Iceland,Não informado,4.977,2022
44,Iran,Não informado,0.0,2023
45,Iraq,Não informado,0.0,2023
46,Ireland,Não informado,4.523,2022
47,Israel,Não informado,3.336,2022
48,Italy,Não informado,3.613,2022
49,Jamaica,Não informado,0.0,2023
50,Japan,Não informado,1.29,2022
51,Jordan,Não informado,1.795,2018
52,Kazakhstan,KAZ,1.773,2023
53,Kuwait,KWT,2.033,2023
54,Kyrgyzstan,KGZ,2.492,2023
55,Latvia,LVA,4.383,2023
56,Lebanon,LBN,1.427,2023
57,Lithuania,LTU,5.035,2023
58,Luxembourg,LUX,2.588,2023
59,Malaysia,Não informado,1.166,2020
60,Maldives,Não informado,1.259,2021
61,Malta,Não informado,3.623,2022
62,Mauritius,MUS,2.893,2023
63,Mexico,Não informado,1.845,2022
64,Moldova,MDA,4.82,2023
65,Mongolia,MNG,3.404,2023
66,Montenegro,Não informado,6.887,2019
67,Netherlands,NLD,3.21,2023
68,New Zealand,Não informado,4.496,2018
69,Nicaragua,Não informado,1.399,2022
70,North Macedonia,MKD,4.734,2023
71,Norway,Não informado,0.0,2023
72,Oman,Não informado,0.355,2021
73,Panama,Não informado,1.806,2022
74,Paraguay,Não informado,1.615,2021
75,Peru,Não informado,3.28,2022
76,Philippines,Não informado,1.548,2019
77,Poland,Não informado,4.76,2022
78,Portugal,Não informado,4.555,2022
79,Puerto Rico,Não informado,2.043,2022
80,Qatar,QAT,1.37,2023
81,Romania,Não informado,4.48,2022
82,Russia,Não informado,3.684,2019
83,Saint Lucia,Não informado,1.3,2020
84,Saint Vincent And The Grenadines,Não informado,2.959,2022
85,Sao Tome And Principe,Não informado,0.0,2023
86,Saudi Arabia,SAU,2.412,2023
87,Serbia,SRB,4.98,2023
88,Seychelles,Não informado,7.992,2021
89,Singapore,Não informado,1.624,2022
90,Slovakia,SVK,4.312,2023
91,Slovenia,SVN,4.53,2023
92,South Africa,Não informado,1.204,2020
93,South Korea,Não informado,1.811,2022
94,Spain,ESP,3.887,2023
95,Sri Lanka,Não informado,2.137,2019
96,Suriname,Não informado,0.0,2023
97,Sweden,SWE,3.846,2023
98,Switzerland,CHE,3.705,2023
99,Syria,Não informado,0.0,2023
100,Tajikistan,Não informado,1.758,2022
101,Thailand,THA,1.439,2023
102,Trinidad And Tobago,Não informado,1.659,2020
103,Turkey,TUR,3.453,2023
104,Turkmenistan,Não informado,0.0,2023
105,Ukraine,Não informado,3.383,2019
106,United Arab Emirates,ARE,1.209,2023
107,United Kingdom,Não informado,3.818,2021
108,United States,Não informado,3.34,2022
109,Uruguay,Não informado,3.883,2022
110,Uzbekistan,UZB,2.912,2023
111,Venezuela,Não informado,0.0,2023
