,Entity,Code,Year,"Age-standardized deaths from brain and nervous system cancers in both sexes in those aged all ages per 100,000 people",time
0,Albania,,,,2023
1,Antigua and Barbuda,,,2.4685488,2021
2,Argentina,,,2.6434653,2022
3,Armenia,ARM,2023.0,3.9359062,2023
4,Australia,AUS,2023.0,3.8413868,2023
5,Austria,AUT,2023.0,3.7386844,2023
6,Azerbaijan,,,,2023
7,Bahamas,,,,2023
8,Bahrain,,,,2023
9,Barbados,,,,2023
10,Belarus,,,3.5044215,2018
11,Belgium,,,3.6918976,2021
12,Belize,,,2.6895673,2022
13,Bosnia and Herzegovina,BIH,2023.0,4.909451,2023
14,Brazil,,,4.038934,2021
15,Brunei,,,0.7879558,2019
16,Bulgaria,,,4.788004,2022
17,Canada,,,3.8612244,2022
18,Cape Verde,,,,2023
19,Chile,,,2.3496974,2022
20,Colombia,,,2.5812018,2021
21,Costa Rica,,,2.588745,2022
22,Croatia,,,6.04112,2021
23,Cuba,,,3.737288,2021
24,Cyprus,,,2.524527,2022
25,Czechia,CZE,2023.0,3.9744992,2023
26,Denmark,,,4.0855956,2022
27,Dominican Republic,,,2.013128,2018
28,Ecuador,,,2.1114104,2022
29,Egypt,,,3.887132,2019
30,El Salvador,,,2.5239964,2018
31,Estonia,,,4.380541,2022
32,Fiji,,,,2023
33,Finland,,,3.9622886,2022
34,France,,,3.6389625,2022
35,French Guiana,,,,2023
36,Georgia,GEO,2023.0,3.0640624,2023
37,Germany,,,3.7660534,2020
38,Greece,,,4.970292,2022
39,Grenada,GRD,2023.0,3.1582413,2023
40,Guatemala,,,1.2860445,2022
41,Guyana,,,1.1418749,2020
42,Hungary,HUN,2023.0,4.2419767,2023
43,Iceland,,,4.97468,2022
44,Iran,,,,2023
45,Iraq,,,,2023
46,Ireland,,,4.5252266,2022
47,Israel,,,3.335803,2022
48,Italy,,,3.6126304,2022
49,Jamaica,,,,2023
50,Japan,,,1.2901232,2022
51,Jordan,,,1.7947468,2018
52,Kazakhstan,KAZ,2023.0,1.7739109,2023
53,Kuwait,KWT,2023.0,2.033433,2023
54,Kyrgyzstan,KGZ,2023.0,2.4917197,2023
55,Latvia,LVA,2023.0,4.3831377,2023
56,Lebanon,LBN,2023.0,1.4268744,2023
57,Lithuania,LTU,2023.0,5.033959,2023
58,Luxembourg,LUX,2023.0,2.587284,2023
59,Malaysia,,,1.16585,2020
60,Maldives,,,1.2592154,2021
61,Malta,,,3.62254,2022
62,Mauritius,MUS,2023.0,2.892767,2023
63,Mexico,,,1.8448694,2022
64,Moldova,MDA,2023.0,4.8196826,2023
65,Mongolia,MNG,2023.0,3.4033248,2023
66,Montenegro,,,6.8866577,2019
67,Netherlands,NLD,2023.0,3.211623,2023
68,New Zealand,,,4.494441,2018
69,Nicaragua,,,1.3993524,2022
70,North Macedonia,MKD,2023.0,4.7332234,2023
71,Norway,,,,2023
72,Oman,,,0.3549062,2021
73,Panama,,,1.8053404,2022
74,Paraguay,,,1.6155208,2021
75,Peru,,,3.2799175,2022
76,Philippines,,,1.5480515,2019
77,Poland,,,4.760885,2022
78,Portugal,,,4.5563145,2022
79,Puerto Rico,,,2.042044,2022
80,Qatar,QAT,2023.0,1.3704466,2023
81,Romania,,,4.4802465,2022
82,Russia,,,3.6829681,2019
83,Saint Lucia,,,1.3002391,2020
84,Saint Vincent and the Grenadines,,,2.959731,2022
85,Sao Tome and Principe,,,,2023
86,Saudi Arabia,SAU,2023.0,2.411893,2023
87,Serbia,SRB,2023.0,4.9786024,2023
88,Seychelles,,,7.9908123,2021
89,Singapore,,,1.62422,2022
90,Slovakia,SVK,2023.0,4.3140454,2023
91,Slovenia,SVN,2023.0,4.5319347,2023
92,South Africa,,,1.2039739,2020
93,South Korea,,,1.8107512,2022
94,Spain,ESP,2023.0,3.8861136,2023
95,Sri Lanka,,,2.1359205,2019
96,Suriname,,,,2023
97,Sweden,SWE,2023.0,3.8448963,2023
98,Switzerland,CHE,2023.0,3.704557,2023
99,Syria,,,,2023
100,Tajikistan,,,1.7580587,2022
101,Thailand,THA,2023.0,1.4393885,2023
102,Trinidad and Tobago,,,1.6594874,2020
103,Turkey,TUR,2023.0,3.4525175,2023
104,Turkmenistan,,,,2023
105,Ukraine,,,3.3830154,2019
106,United Arab Emirates,ARE,2023.0,1.2093328,2023
107,United Kingdom,,,3.8179224,2021
108,United States,,,3.3396826,2022
109,Uruguay,,,3.8835104,2022
110,Uzbekistan,UZB,2023.0,2.9125583,2023
111,Venezuela,,,,2023
